preco_real,preco_previsto,residuo_log,erro_reais,erro_percentual,erro_absoluto_percentual,bairro,origem_anuncio,tipo_unidade,area_util,faixa_preco,faixa_area,campos_ausentes
1299999.9999999998,640027.2651437725,-0.7086087662161962,-659972.7348562273,-50.76713345047903,50.76713345047903,jardim_oceania,chaves_na_mao,apartamento_tipo,65.0,Q5 (mais caro),A2,3
1125967.0000000002,816762.8022493452,-0.321048776005183,-309204.197750655,-27.461213139519625,27.461213139519625,jardim_oceania,chaves_na_mao,apartamento_tipo,63.0,Q5 (mais caro),A2,3
294037.99999999977,423997.9607700404,0.3660196350286906,129959.96077004063,44.198355576503964,44.198355576503964,jardim_oceania,chaves_na_mao,apartamento_tipo,23.0,Q1 (mais barato),A1 (menor),4
429009.9999999999,502954.19793839584,0.1590188794975269,73944.19793839596,17.23600800410153,17.23600800410153,jardim_oceania,chaves_na_mao,apartamento_tipo,36.0,Q2,A1 (menor),5
474999.99999999994,398993.0960313757,-0.1743706904739888,-76006.90396862425,-16.00145346707879,16.00145346707879,jardim_oceania,ambos,apartamento_tipo,21.0,Q2,A1 (menor),4
474999.99999999994,456573.049828879,-0.039566095270746615,-18426.95017112093,-3.879357930762302,3.879357930762302,jardim_oceania,chaves_na_mao,apartamento_tipo,37.0,Q2,A1 (menor),3
575000.0,758938.1535559174,0.2775502491622177,183938.15355591744,31.98924409668129,31.98924409668129,jardim_oceania,chaves_na_mao,apartamento_tipo,59.0,Q3,A2,3
194900.00000000006,257032.2404402932,0.27671491969763373,62132.24044029313,31.879035628677837,31.879035628677837,jardim_sao_paulo,chaves_na_mao,apartamento_tipo,15.0,Q1 (mais barato),A1 (menor),3
160999.99999999997,233171.94057845292,0.3703717588324178,72171.94057845295,44.8272922847534,44.8272922847534,jardim_sao_paulo,ambos,apartamento_tipo,31.0,Q1 (mais barato),A1 (menor),1
175000.00000000003,208072.63874939753,0.17310126956975047,33072.638749397505,18.89865071394143,18.89865071394143,jardim_sao_paulo,chaves_na_mao,apartamento_tipo,35.0,Q1 (mais barato),A1 (menor),3
239887.0000000001,276757.93139274744,0.14297525109862796,36870.931392747356,15.370124847427055,15.370124847427055,jardim_sao_paulo,chaves_na_mao,apartamento_tipo,28.0,Q1 (mais barato),A1 (menor),3
979999.9999999995,611794.6604799787,-0.47115586754395977,-368205.3395200209,-37.57197342041031,37.57197342041031,joao_agripino,chaves_na_mao,apartamento_tipo,139.0,Q4,A4 (maior),2
378847.00000000006,344757.74078809377,-0.09429045988588491,-34089.25921190629,-8.998159999130594,8.998159999130594,manaira,chaves_na_mao,apartamento_tipo,19.0,Q2,A1 (menor),2
313767.0000000001,357198.81930334086,0.1296418713300369,43431.819303340744,13.842060925253685,13.842060925253685,manaira,chaves_na_mao,apartamento_tipo,22.0,Q1 (mais barato),A1 (menor),3
501000.00000000023,394614.92728244734,-0.23869567931562763,-106385.07271755289,-21.234545452605357,21.234545452605357,manaira,chaves_na_mao,apartamento_tipo,22.0,Q3,A1 (menor),3
554399.9999999999,360382.79542073066,-0.43071966073733137,-194017.20457926922,-34.995888271873966,34.995888271873966,manaira,chaves_na_mao,apartamento_tipo,22.0,Q3,A1 (menor),3
528999.9999999999,392564.2186924085,-0.2982882935162774,-136435.78130759136,-25.791263007106124,25.791263007106124,manaira,ambos,apartamento_tipo,26.0,Q3,A1 (menor),2
338299.9999999998,368969.4500157852,0.08678077354134217,30669.450015785347,9.065755251488431,9.065755251488431,manaira,chaves_na_mao,apartamento_tipo,27.0,Q2,A1 (menor),3
342699.9999999999,364947.1323616534,0.06289707136640565,22247.132361653494,6.491722311541729,6.491722311541729,manaira,chaves_na_mao,apartamento_tipo,32.0,Q2,A1 (menor),3
420000.00000000023,383120.86601277825,-0.09190419482387213,-36879.13398722198,-8.7807461874338,8.7807461874338,manaira,ambos,apartamento_tipo,32.0,Q2,A1 (menor),2
529999.9999999998,474650.3151635008,-0.11029865222721646,-55349.684836498986,-10.443336761603588,10.443336761603588,manaira,chaves_na_mao,apartamento_tipo,33.0,Q3,A1 (menor),4
450000.00000000035,432007.75321533025,-0.04080404742359711,-17992.246784670104,-3.99827706326002,3.99827706326002,manaira,chaves_na_mao,apartamento_tipo,37.0,Q2,A1 (menor),2
299999.9999999999,443978.4103292344,0.39199346120916445,143978.4103292345,47.99280344307819,47.99280344307819,manaira,chaves_na_mao,apartamento_tipo,40.0,Q1 (mais barato),A1 (menor),3
380000.0000000003,432495.0947554607,0.12939973198131405,52495.09475546039,13.814498619857988,13.814498619857988,manaira,ambos,apartamento_tipo,42.0,Q2,A1 (menor),1
340000.00000000006,460452.74680894316,0.30326462002736143,120452.7468089431,35.42727847321856,35.42727847321856,manaira,chaves_na_mao,apartamento_tipo,46.0,Q2,A1 (menor),3
420000.00000000023,456731.67011491524,0.08384135206413035,36731.670114915,8.745635741646424,8.745635741646424,manaira,ambos,apartamento_tipo,58.0,Q2,A2,1
450000.00000000035,538060.5023314642,0.17872342893968174,88060.50233146385,19.569000518103064,19.569000518103064,manaira,ambos,apartamento_tipo,59.0,Q2,A2,0
754899.9999999998,609901.3493499417,-0.2132880684338403,-144998.65065005806,-19.207663352769654,19.207663352769654,manaira,chaves_na_mao,apartamento_tipo,60.0,Q4,A2,2
680000.0000000001,807867.1244695619,0.1723047969136644,127867.12446956174,18.803988892582606,18.803988892582606,manaira,ambos,apartamento_tipo,81.0,Q3,A3,1
450000.00000000035,396040.44560871087,-0.1277312413498155,-53959.55439128948,-11.991012086953209,11.991012086953209,manaira,ambos,apartamento_tipo,34.0,Q2,A1 (menor),3
452329.9999999999,381694.80317307025,-0.16979065723569775,-70635.19682692963,-15.615854979092623,15.615854979092623,manaira,ambos,apartamento_tipo,35.0,Q2,A1 (menor),2
489000.00000000006,509937.19933569996,0.041925090103873686,20937.1993356999,4.281635855971349,4.281635855971349,manaira,ambos,apartamento_tipo,41.0,Q3,A1 (menor),3
548999.9999999998,488057.0315762201,-0.11766617450085626,-60942.96842377965,-11.100722845861506,11.100722845861506,manaira,ambos,apartamento_tipo,36.0,Q3,A1 (menor),2
