owner_kind,owner_key,amenity_name
property,prop-17842784,laundry
property,prop-17842784,party_hall
property,prop-17842784,playground
property,prop-17842784,pool
property,prop-17842784,security_24h
property,prop-17842784,spa
property,prop-17842784,sports_court
property,prop-17842962,air_conditioning
property,prop-17842962,bbq_area
property,prop-17842962,pool
property,prop-17954346,bbq_area
property,prop-17954346,pool
property,prop-17985827,concierge
property,prop-17985827,game_room
property,prop-17985827,generator
property,prop-17985827,gourmet_area
property,prop-17985827,gym
property,prop-17985827,intercom
property,prop-17985827,party_hall
property,prop-17985827,playground
property,prop-17985827,pool
property,prop-17985827,sauna
property,prop-17985827,security_24h
property,prop-17985827,sports_court
property,prop-18005491,bbq_area
property,prop-18005491,pool
property,prop-18005491,sauna
property,prop-18005507,bbq_area
property,prop-18005507,pool
property,prop-18030650,bbq_area
property,prop-18030650,pool
property,prop-18047960,bbq_area
property,prop-18047960,game_room
property,prop-18047960,gourmet_area
property,prop-18047960,gym
property,prop-18047960,intercom
property,prop-18047960,party_hall
property,prop-18047960,playground
property,prop-18047960,pool
property,prop-18047960,security_24h
property,prop-18047960,sports_court
property,prop-18111172,bbq_area
property,prop-18111172,bike_rack
property,prop-18111172,game_room
property,prop-18111172,gourmet_area
property,prop-18111172,gym
property,prop-18111172,intercom
property,prop-18111172,party_hall
property,prop-18111172,playground
property,prop-18111172,pool
property,prop-18111172,security_24h
property,prop-18111172,spa
property,prop-18111174,bbq_area
property,prop-18111174,bike_rack
property,prop-18111174,cinema
property,prop-18111174,game_room
property,prop-18111174,gourmet_area
property,prop-18111174,gym
property,prop-18111174,intercom
property,prop-18111174,party_hall
property,prop-18111174,playground
property,prop-18111174,pool
property,prop-18111174,security_24h
property,prop-18111174,spa
property,prop-18112074,concierge
property,prop-18112074,game_room
property,prop-18112074,gourmet_area
property,prop-18112074,gym
property,prop-18112074,intercom
property,prop-18112074,party_hall
property,prop-18112074,playground
property,prop-18112074,pool
property,prop-18112074,security_24h
property,prop-18112074,sports_court
property,prop-18143151,air_conditioning
property,prop-18143151,bbq_area
property,prop-18143151,pool
property,prop-18143151,security_24h
property,prop-18143151,wine_cellar
property,prop-18175170,bbq_area
property,prop-18175170,game_room
property,prop-18175170,gym
property,prop-18175170,party_hall
property,prop-18175170,playground
property,prop-18175170,pool
property,prop-18175170,security_24h
property,prop-18175170,sports_court
property,prop-18175179,air_conditioning
property,prop-18175179,bbq_area
property,prop-18175179,game_room
property,prop-18175179,gym
property,prop-18175179,party_hall
property,prop-18175179,playground
property,prop-18175179,pool
property,prop-18175179,security_24h
property,prop-18175179,sports_court
property,prop-18175179,wine_cellar
property,prop-18175185,air_conditioning
property,prop-18175185,bbq_area
property,prop-18175185,game_room
property,prop-18175185,gym
property,prop-18175185,party_hall
property,prop-18175185,playground
property,prop-18175185,pool
property,prop-18175185,security_24h
property,prop-18175185,sports_court
property,prop-18175195,air_conditioning
property,prop-18175195,bbq_area
property,prop-18175195,game_room
property,prop-18175195,gym
property,prop-18175195,party_hall
property,prop-18175195,playground
property,prop-18175195,pool
property,prop-18175195,security_24h
property,prop-18175195,sports_court
property,prop-18214973,bbq_area
property,prop-18214973,game_room
property,prop-18214973,gourmet_area
property,prop-18214973,gym
property,prop-18214973,intercom
property,prop-18214973,party_hall
property,prop-18214973,playground
property,prop-18214973,pool
property,prop-18224319,gym
property,prop-18224319,playground
property,prop-18224319,pool
property,prop-18224319,spa
property,prop-18224319,sports_court
property,prop-18234190,concierge
property,prop-18237618,bbq_area
property,prop-18237618,pool
property,prop-18237656,bbq_area
property,prop-18237656,pool
property,prop-18240492,bbq_area
property,prop-18240492,laundry
property,prop-18240492,pool
property,prop-18256938,bbq_area
property,prop-18256938,bike_rack
property,prop-18256938,game_room
property,prop-18256938,party_hall
property,prop-18256938,playground
property,prop-18256938,pool
property,prop-18256938,security_24h
property,prop-18256950,bbq_area
property,prop-18256950,pool
property,prop-18298397,gourmet_area
property,prop-18298397,gym
property,prop-18298397,intercom
property,prop-18298397,playground
property,prop-18298397,pool
property,prop-18312377,bbq_area
property,prop-18312377,bike_rack
property,prop-18312377,concierge
property,prop-18312377,game_room
property,prop-18312377,gourmet_area
property,prop-18312377,gym
property,prop-18312377,intercom
property,prop-18312377,party_hall
property,prop-18312377,playground
property,prop-18312377,pool
property,prop-18312377,security_24h
property,prop-18322191,bike_rack
property,prop-18322191,game_room
property,prop-18322191,gym
property,prop-18322191,laundry
property,prop-18322191,party_hall
property,prop-18322191,playground
property,prop-18322191,pool
property,prop-18322191,security_24h
property,prop-18330859,bbq_area
property,prop-18330859,pool
property,prop-18363143,air_conditioning
property,prop-18363143,bbq_area
property,prop-18363143,pool
property,prop-18363143,security_24h
property,prop-18393841,bbq_area
