feature,importancia,desvio,significativa,spearman_abs,posto_importancia,posto_correlacao,salto_de_posto
status_construcao_nao_informado,1.3247877481648019e-05,0.00015187001013069218,False,0.0789286060004317,101,69,-32
com_vista_panoramica,1.2954181332730519e-05,1.0936496060185052e-05,False,0.0657341968308561,102,78,-24
com_salao_multiuso,6.4207077627498336e-06,2.4222575800085817e-05,False,0.0640280783972536,103,79,-24
tipo_unidade_apartamento_tipo,0.0,0.0,False,0.0533573804206927,104,89,-15
posicao_solar_sul,0.0,0.0,False,0.0138132686309598,104,110,6
tipo_unidade_terreo_com_area,-4.0140121022436135e-06,4.627667213665874e-06,False,0.0534893992995892,106,88,-18
posicao_solar_norte,-1.8668499186708098e-05,5.417205245800292e-06,False,0.0258954170385941,107,103,-4
status_construcao_na_planta,-2.1842235586105872e-05,1.2450883192114579e-05,False,0.0683088460515849,108,76,-32
com_closet,-2.824189378921038e-05,2.0454260424376228e-05,False,0.1767630814280675,109,23,-86
com_ventilacao_natural,-3.0152575112823987e-05,5.9015951715208584e-05,False,0.0580333885221467,110,84,-26
com_copa,-3.451584055346735e-05,6.132584405862871e-05,False,0.1283060275748256,111,42,-69
posicao_solar_nao_informado,-3.4556714176503525e-05,2.0224069891898582e-05,False,0.0293845482400206,112,99,-13
com_gerador_de_energia,-0.00011010188349908079,6.213482470159769e-05,False,0.1310252276029614,113,40,-73
origem_anuncio_ambos,-0.00012553549285632126,0.00020518002358805608,False,0.0329601180600864,114,97,-17
com_hall_de_entrada,-0.00019209374830044256,9.864973763374926e-05,False,0.0909258843170692,115,66,-49
