id,title,subtype,transaction,price_sale,price_rent,area_m2,bedrooms,bathrooms,parking_spots,iptu_year,condo_fee,pets_allowed,accepts_financing,year_built,floor,has_elevator,has_balcony,furnished,neighborhood,condominium,builder,built_year
prop-32591110,APARTAMENTO EM MIRAMAR | OTIMA LOCALIZAÇÃO | ALTO PADRÃO codigo: 121839,Apartment,sale,2500000,,206.0,4,1,3,,,false,,,,true,false,false,Brisamar,,,
prop-40145882,"Apartamento com 2 quartos à venda no Aeroclube, João Pessoa",Apartment,sale,626000,,62.0,2,2,1,,,false,,,,true,true,false,Aeroclube,,,
prop-34625094,"Apartamento com 3 dormitórios à venda, 139 m² por R$ 890.000,00 - Aeroclube - João Pessoa/PB",Apartment,sale,890000,,139.0,3,1,2,,,false,,,,false,false,false,Aeroclube,,,
prop-44283095,"Apartamento para vender ou vender, Jardim Oceania, João Pessoa, PB",Apartment,sale,420000,,43.0,2,2,0,,,false,,,,true,false,false,Jardim Oceania,,,
prop-41614785,Apartamento Térreo no Jardim Cidade Universitária com 3 Quartos sendo 1 Suíte,Apartment,sale,300000,,70.0,3,2,1,,,false,,,,false,true,false,Jardim Cidade Universitária,,,
prop-42357248,Apartamento Térreo com Área nos Jardim Cidade Universitária/Bancários com 3 Quartos sendo 2 Suítes com Piscina,Apartment,sale,550000,,100.0,3,3,2,,,false,,,,false,false,false,Jardim Cidade Universitária,,,
prop-38817725,"Apartamento com 2 dormitórios à venda, 62 m² por R$ 680.000 - Brisamar - João Pessoa/PB",Apartment,sale,680000,,62.0,2,2,2,,,false,,,,true,true,false,Brisamar,,,
prop-44505609,"Apartamento com 2 dormitórios à venda, 43 m² por R$ 194.990 - Muçumagro - João Pessoa/PB",Apartment,sale,194990,,43.0,2,1,1,,,false,,,,false,true,false,Muçumagro,,,
prop-43445188,"Imóvel com ótimo custo — Apartamento no Ernani Satiro, Joao Pessoa - PB, Apto 307, 2 quartos, 1 vaga, 45,06m² | Venda Direta Online",Apartment,sale,61674,,45.0,2,1,1,,,false,,,,false,false,false,Ernâni Sátiro,,,
prop-43386148,"Apartamento com 3 quartos à venda no Manaíra, João Pessoa",Apartment,sale,1850000,,216.0,3,3,2,,,false,,,,false,true,false,Manaíra,,,
prop-44310863,"Apartamento com 1 dormitório à venda, 20,05 m² -Jardim Oceania - João Pessoa/PB",Apartment,sale,307000,,20.0,1,1,1,,,false,,,,true,false,false,Jardim Oceania,,,
prop-38487047,"Apartamento com 3 quartos, 69m², R$270.000,00 - Jardim Cidade Universitária, João Pessoa/PB",Apartment,sale,270000,,69.0,3,2,1,,,false,,,,false,true,false,Jardim Cidade Universitária,,,
prop-6221804,"Apartamento com 2 dormitórios à venda por R$ 240.000,00 - Geisel - João Pessoa/PB",Apartment,sale,240000,,58.0,2,1,1,,,false,,,,false,true,false,Ernesto Geisel,,,
prop-43770500,"Apartamento com 2 quartos à venda na Avenida Carlos André Ferreira Narcizo, 100, Gramame, João Pessoa",Apartment,sale,120000,,45.0,2,1,1,,,false,,,,false,false,false,Gramame,,,
prop-39903553,"Apartamento de 3 quartos, amplo entre as duas universidades codigo: 279644",Apartment,sale,380000,,90.0,3,2,1,,,false,,,,false,false,false,Jardim São Paulo,,,
prop-24857190,"Apartamento com 3 quartos à venda no Manaíra, João Pessoa",Apartment,sale,998740,,87.0,3,3,2,,,false,,,,true,false,false,Manaíra,,,
prop-43709928,Apartamento Para Vender com 2 quartos 1 suíte no bairro Cabo Branco em João Pessoa,Apartment,sale,900000,,61.0,2,2,2,,,true,,,,true,true,true,Cabo Branco,,,
prop-43795016,"Jardins Di Capri — apartamento em construção no bairro Treze de Maio, João Pessoa/PB",Apartment,sale,315000,,45.0,2,2,1,,,true,,,,true,true,false,Treze de Maio,,,
prop-32114753,"Apartamento com 3 quartos à venda na Avenida Governador Flávio Ribeiro Coutinho, Manaíra, João Pessoa",Apartment,sale,946000,,83.0,3,2,2,,,false,,,,true,true,false,Manaíra,,,
prop-43891872,"Apartamento com 1 quarto à venda no Manaíra, João Pessoa",Apartment,sale,391000,,21.0,1,1,1,,,false,,,,false,false,false,Manaíra,,,
prop-30096787,"Apartamento com 1 dormitório à venda, 35 m² por R$ 380.467,50 - Jardim Oceania - João Pessoa/PB",Apartment,sale,380467,,35.0,1,1,1,,,true,,,,false,false,false,Jardim Oceania,,,
prop-39694074,"Apartamento com 2 quartos à venda na Avenida João Maurício, 11, Manaíra, João Pessoa",Apartment,sale,550000,,52.0,2,2,1,,,false,,,,true,true,true,Manaíra,,,
prop-45048749,"Excelente custo-benefício — Apartamento no Paratibe, Joao Pessoa - PB, Apto 302, 2 quartos, 1 vaga, 43,24m² | Venda Online",Apartment,sale,79360,,43.0,2,1,1,,,false,,,,false,false,false,Paratibe,,,
prop-44165503,"Apartamento com 2 dormitórios à venda, 61 m² por R$ 390.000,00 - Bessa - João Pessoa/PB",Apartment,sale,390000,,61.0,2,2,1,,,false,,,,false,false,false,Bessa,,,
prop-30647718,Spazzio de piemonte - APARTQMENTO NO SPAZZIO DE PIEMONTE / APARTAMENTO NO AEROCLUBE / APARTAMENTO VISTA MAR EM AEROCLUBE / APARTAMENTO BISTA MAR EM JOÃO PEASOA,Apartment,sale,620000,,62.0,2,2,1,,,false,,,,false,true,false,Aeroclube,,,
prop-43261377,"Apartamento com 2 quartos à venda no Cabo Branco, João Pessoa",Apartment,sale,1200000,,91.0,2,2,1,,,false,,,,true,false,true,Cabo Branco,,,
prop-39717469,Apartamento mobiliado no Cabo Branco  Edifício Mardisa Design,Apartment,sale,950000,,10.0,2,1,1,,,false,,,,false,true,true,Cabo Branco,,,
prop-32114855,"Apartamento com 2 quartos à venda na Rua Fernando Luiz Henriques dos Santos, Bessa, João Pessoa",Apartment,sale,514900,,59.0,2,2,1,,,false,,,,false,true,false,Bessa,,,
prop-43646042,Apartamento com 4 dormitórios à venda por R$ 2.000.000 - Manaíra - João Pessoa/PB,Apartment,sale,2000000,,285.0,4,5,4,,,false,,,,false,true,false,Manaíra,,,
prop-39952339,"Apartamento para Venda em João Pessoa, Altiplano Cabo Branco, 3 dormitórios, 1 suíte, 3 banheiros, 2 vagas",Apartment,sale,1270000,,96.0,3,3,2,,,false,,,,false,true,false,Altiplano Cabo Branco,,,
prop-44283155,"Apartamento novíssimo para vender, Manaíra, João Pessoa, Paraíba",Apartment,sale,760000,,75.0,3,2,2,,,false,,,,false,true,false,Manaíra,,,
prop-43757285,"Apartamento com 2 dormitórios à venda, 55 m² por R$ 385.000,00 - Bessa - João Pessoa/PB",Apartment,sale,385000,,55.0,2,1,1,,,false,,,,false,false,false,Bessa,,,
prop-25583289,"Apartamento Pé na Areia no Jardim Oceania para VENDA - 71m² ,2 Quartos sendo 01 suíte, Posição Sul.",Apartment,sale,999000,,71.0,2,2,0,,,false,,,,false,false,false,Jardim Oceania,,,
prop-43392318,"Apartamento com 2 dormitórios à venda, 61 m² por R$ 700.000,00 - Manaíra - João Pessoa/PB",Apartment,sale,700000,,61.0,2,1,1,,,false,,,,true,true,false,Manaíra,,,
prop-35771536,Apartamento com 2 dormitórios à venda por R$ 195.000 - Valentina de Figueiredo - João Pessoa/PB,Apartment,sale,195000,,47.0,2,2,1,,,false,,,,false,true,false,Valentina de Figueiredo,,,
prop-32115015,"Apartamento com 2 quartos à venda na Rua Fernando Luiz Henriques dos Santos, Jardim Oceania, João Pessoa",Apartment,sale,900000,,62.0,2,2,1,,,false,,,,true,true,false,Jardim Oceania,,,
prop-34815991,"Apartamento com 4 quartos à venda no Tambaú, João Pessoa",Apartment,sale,880000,,165.0,4,1,2,,,false,,,,true,false,false,Tambaú,,,
prop-42867592,"Apartamento com 2 quartos à venda no Torre, João Pessoa",Apartment,sale,380000,,69.0,2,2,1,,,false,,,,false,false,false,Torre,,,
prop-44877870,Apartamento Térreo 3 quartos nos Bancários com Lazer Garden,Apartment,sale,529900,,105.0,3,2,1,,,false,,,,false,true,false,Bancários,,,
prop-38729812,"Apartamento para Venda em João Pessoa, Tambaú, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",Apartment,sale,1100000,,132.0,3,2,2,,,false,,,,false,true,false,Tambaú,,,
prop-43634136,"Apartamento com 2 quartos à venda na Rua Coronel José Costa, Ernesto Geisel, João Pessoa",Apartment,sale,230000,,40.0,2,1,1,,,false,,,,false,false,false,Ernesto Geisel,,,
prop-16478275,"Apartamento com 2 dormitórios à venda, 51 m² por R$ 140.000 - Gramame - João Pessoa/Paraíba",Apartment,sale,140000,,51.0,2,2,1,,,false,,,,false,true,false,Gramame,,,
prop-43764347,Opções de 2 e 3 quartos em excelente localização no Bessa!!rtamento Padrão,Apartment,sale,378000,,55.0,2,2,1,,,false,,,,true,true,false,Bessa,,,
prop-32175406,"Apartamento com 3 dormitórios à venda, 72,24 m² por R$  475.000,00 - Manaíra - João Pessoa/PB",Apartment,sale,475000,,72.0,3,2,1,,,false,,,,false,true,false,Manaíra,,,
prop-44684615,"Apartamento  para venda, Jardim Oceania, João Pessoa - 25919",Apartment,sale,1313346,,108.0,2,1,2,,,true,,,,true,false,false,Jardim Oceania,,,
prop-41705765,Oportunidade no Jardim Oceania: Apartamento com Suíte e Área de Lazer Completa,Apartment,sale,868231,,68.0,3,2,1,,,true,,,,true,false,false,Jardim Oceania,,,
prop-6164985,"Apartamento com 2 quartos à venda no Gramame, João Pessoa",Apartment,sale,118900,,1.0,2,1,1,,,false,,,,false,true,false,Gramame,,,
prop-43720007,"Apartamento com 2 quartos à venda na Rua Doutor Damasquins Ramos Maciel, 353, Bessa, João Pessoa",Apartment,sale,559000,,59.0,2,2,1,,,false,,,,false,true,false,Bessa,,,
prop-30096764,"Apartamento com 2 dormitórios à venda, 60 m² por R$ 1.289.000,00 - Altiplano Cabo Branco - João Pessoa/PB",Apartment,sale,1289000,,60.0,2,1,1,,,false,,,,false,false,false,Altiplano Cabo Branco,,,
